id,text,annotations
1,"Ёлка Победы ждёт посетителей до 12 января по адресу: Площадь Победы, д.","Ёлка O
Победы O
ждёт O
посетителей O
до O
12 O
января O
по O
адресу O
: O
Площадь B-Street
Победы I-Street
, O
д. O"
2,"'По вопросам выплаты и других мер социальной поддержки в Рузском округе можно обратиться в Рузское управление социальной защиты населения по адресу:' Руза, ул.Социалистическая, д.59.","' O
По O
вопросам O
выплаты O
и O
других O
мер O
социальной O
поддержки O
в O
Рузском O
округе O
можно O
обратиться O
в O
Рузское O
управление O
социальной O
защиты O
населения O
по O
адресу O
: O
' O
Руза O
, O
ул. B-Street
Социалистическая I-Street
, O
д. B-House
59 I-House
. O"
3,"Наша клиника в Ивантеевке находится по адресу: Фабричный проезд, дом № 1, кв.","Наша O
клиника O
в O
Ивантеевке O
находится O
по O
адресу O
: O
Фабричный O
проезд O
, O
дом O
№ O
1 O
, O
кв. B-Flat"
4,"На сайте администрации Темрюкского района (Краснодарский край) отсутствует официальное извещение о назначении слушаний, однако на сайте [http://www.temryuk.ru/adm/anticorruption/proekty-mpa/ доступен] проект постановления главы района С.Робилко о проведении общественных слушаний 18 мая в 18:00 часов по адресу: станица Тамань, ул.К.Маркса, д.106.","На O
сайте O
администрации O
Темрюкского B-District
района I-District
( O
Краснодарский B-Krai
край I-Krai
) O
отсутствует O
официальное O
извещение O
о O
назначении O
слушаний O
, O
однако O
на O
сайте O
http O
: O
www. O
temryuk. O
ru O
adm O
anticorruption O
proekty-mpa O
доступен O
проект O
постановления O
главы B-District
района I-District
С. O
Робилко O
о O
проведении O
общественных O
слушаний O
18 O
мая O
в O
18 O
: O
00 O
часов O
по O
адресу O
: O
станица O
Тамань O
, O
ул. B-Street
К. I-Street
Маркса I-Street
, O
д. B-House
106 I-House
. O"
5,"Маленковская, дом 30, ТЦ «ГАЛЛА», 2-й этаж, другой - по адресу ул.","Маленковская O
, O
дом B-House
30 I-House
, O
ТЦ O
« O
ГАЛЛА O
» O
, O
2 O
- O
й O
этаж O
, O
другой O
- O
по O
адресу O
ул. B-Street"
6,"В Рузском городском округе социальную карту можно перекодировать в управлении социальной защиты населения по адресу: г.Руза, ул.Социалистическая, д.59, а также в п.Тучково в МФЦ по адресу: п.Тучково, ул.","В O
Рузском O
городском O
округе O
социальную O
карту O
можно O
перекодировать O
в O
управлении O
социальной O
защиты O
населения O
по O
адресу O
: O
г. B-City
Руза I-City
, O
ул. B-Street
Социалистическая I-Street
, O
д. B-House
59 I-House
, O
а O
также O
в O
п. O
Тучково O
в O
МФЦ O
по O
адресу O
: O
п. O
Тучково O
, O
ул. B-Street"
7,"Напоминаем, жители Рузского округа могут оставить обращение в госадмитехнадзор по телефону 8 (496 27) 20-890 или по адресу: г.Руза, ул.Социалистическая, д.74, 2 этаж.","Напоминаем O
, O
жители O
Рузского O
округа O
могут O
оставить O
обращение O
в O
госадмитехнадзор O
по O
телефону O
8 O
( O
496 O
27 O
) O
20 O
- O
890 O
или O
по O
адресу O
: O
г. B-City
Руза I-City
, O
ул. B-Street
Социалистическая I-Street
, O
д. B-House
74 I-House
, O
2 O
этаж. O"
8,"Теперь прививку против covid-19 также можно сделать во фряновской больнице, расположенной по адресу улица Текстильщиков, дом 6.","Теперь O
прививку O
против O
covid O
- O
19 O
также O
можно O
сделать O
во O
фряновской O
больнице O
, O
расположенной O
по O
адресу O
улица B-Street
Текстильщиков I-Street
, O
дом B-House
6 I-House
. O"
9,"27 февраля выездная бригада медиков посетит Медвежьи Озёра (ДК по адресу: улица Юбилейная, дом 5);","27 O
февраля O
выездная O
бригада O
медиков O
посетит O
Медвежьи O
Озёра O
( O
ДК O
по O
адресу O
: O
улица B-Street
Юбилейная I-Street
, O
дом B-House
5 I-House
) O
; O"
10,"Так называемый [#3 Центр культурных связей Грузии - «Кавказский дом»], а также редакция газеты «Кавказский акцент» расположены по адресу: ул.","Так O
называемый O
3 O
Центр O
культурных O
связей O
Грузии O
- O
« O
Кавказский O
дом O
» O
, O
а O
также O
редакция O
газеты O
« O
Кавказский O
акцент O
» O
расположены O
по O
адресу O
: O
ул. B-Street"
11,"По вопросам нарушений в организации мест общественных гуляний можно обращаться по адресу: г.Руза, ул.Социалистическая, д.74, 2-й этаж.","По O
вопросам O
нарушений O
в O
организации O
мест O
общественных O
гуляний O
можно O
обращаться O
по O
адресу O
: O
г. B-City
Руза I-City
, O
ул. B-Street
Социалистическая I-Street
, O
д. B-House
74 I-House
, O
2 O
- O
й O
этаж. O"
12,"Супруна, д.2 и в лагере «Юнармеец» по адресу: посёлок Свердловский, Монинское шоссе, владение 2.","Супруна O
, O
д. B-House
2 I-House
и I-House
в I-House
лагере I-House
« O
Юнармеец O
» O
по O
адресу O
: O
посёлок O
Свердловский O
, O
Монинское O
шоссе B-Highway
, O
владение O
2 O
. O"
13,"По его словам, мужчина 1982 года рождения, находясь в гостях на даче по адресу ул 1-ая Северная линия, вл 29, в ссоре нанес побои своему знакомому 1975 года рождения.","По O
его O
словам O
, O
мужчина O
1982 O
года O
рождения O
, O
находясь O
в O
гостях O
на O
даче O
по O
адресу O
ул B-Street
1 I-Street
- O
ая O
Северная O
линия O
, O
вл B-House
29 I-House
, O
в O
ссоре O
нанес O
побои O
своему O
знакомому O
1975 O
года O
рождения. O"
14,"почтовым отправлением на бумажном носителе по адресу: 143902, Московская область, г. Балашиха, ул. Советская, д.42, а электронную скан-версию рисунка на эл. адрес: ukkmo@mosreg.ru;","почтовым O
отправлением O
на O
бумажном O
носителе O
по O
адресу O
: O
143902 O
, O
Московская B-Oblast
область I-Oblast
, O
г. B-City
Балашиха I-City
, O
ул. B-Street
Советская I-Street
, O
д. B-House
42 I-House
, O
а O
электронную O
скан-версию O
рисунка O
на O
эл. O
адрес O
: O
ukkmo O
mosreg. O
ru O
; O"
15,"нарочно на бумажном носителе по адресу: 143902, Московская область, г. Балашиха, ул. Советская, д.42, а электронную скан-версию рисунка на эл. адрес: ukkmo@mosreg.ru.","нарочно O
на O
бумажном O
носителе O
по O
адресу O
: O
143902 O
, O
Московская B-Oblast
область I-Oblast
, O
г. B-City
Балашиха I-City
, O
ул. B-Street
Советская I-Street
, O
д. B-House
42 I-House
, O
а O
электронную O
скан-версию O
рисунка O
на O
эл. O
адрес O
: O
ukkmo O
mosreg. O
ru. O"
