"text","annotations"
"Адрес: Волгоградская область, город Псков, улица Гагарина, дом 152.","Адрес O
: O
Волгоградская B-Oblast
область I-Oblast
, O
город B-City
Псков I-City
, O
улица B-Street
Гагарина I-Street
, O
дом B-House
152 I-House
. O"
"Доставка по адресу: Краснодарский край, город Набережные Челны, проспект Науки, д 57, квартире 415.","Доставка O
по O
адресу O
: O
Краснодарский B-Krai
край I-Krai
, O
город B-City
Набережные I-City
Челны I-City
, O
проспект B-Avenue
Науки I-Avenue
, O
д B-House
57 I-House
, O
квартире B-Flat
415 I-Flat
. O"
"Мы переехали в Мордовия, в Тверь, бульвар Морской, доме 246.","Мы O
переехали O
в O
Мордовия B-Republic
, O
в O
Тверь B-City
, O
бульвар B-Boulevard
Морской I-Boulevard
, O
доме B-House
246 I-House
. O"
"Я родился в деревня Березовка, в Железнодорожный район, Ленинградская область.","Я O
родился O
в O
деревня B-Village
Березовка I-Village
, O
в O
Железнодорожный B-District
район I-District
, O
Ленинградская B-Oblast
область I-Oblast
. O"
"Поеду в посёлок Солнечный, Приморский район, Камчатский край.","Поеду O
в O
посёлок B-Poselok
Солнечный I-Poselok
, O
Приморский B-District
район I-District
, O
Камчатский B-Krai
край I-Krai
. O"
"Склад: Ханты-Мансийский автономный округ, Владивосток, шоссе Энтузиастов, д. 148А, строение 4, сооружение Б.","Склад O
: O
Ханты-Мансийский B-AO
автономный I-AO
округ I-AO
, O
Владивосток B-City
, O
шоссе B-Highway
Энтузиастов I-Highway
, O
д. B-House
148А I-House
, O
строение B-Building
4 I-Building
, O
сооружение B-Structure
Б I-Structure
. O"
"Встретимся на набережной Камы в городе Курск.","Встретимся O
на O
набережной B-Embankment
Камы I-Embankment
в O
городе B-City
Курск I-City
. O"
"Живу в мкр Северный, Псков, улице Школьная, д 70.","Живу O
в O
мкр B-Microdistrict
Северный I-Microdistrict
, O
Псков B-City
, O
улице B-Street
Школьная I-Street
, O
д B-House
70 I-House
. O"
"Квартира кв 353 находится по адресу: Казань, переулок Северный, д. 103.","Квартира O
кв B-Flat
353 I-Flat
находится O
по O
адресу O
: O
Казань B-City
, O
переулок B-Lane
Северный I-Lane
, O
д. B-House
103 I-House
. O"
"Наш офис в муниципальное образование Академический, Тверь, проспекте Победы, д 227.","Наш O
офис O
в O
муниципальное B-Municipality
образование I-Municipality
Академический I-Municipality
, O
Тверь B-City
, O
проспекте B-Avenue
Победы I-Avenue
, O
д B-House
227 I-House
. O"
"Мы находимся в Российская Федерация, Новосибирская область, города Набережные Челны.","Мы O
находимся O
в O
Российская B-Country
Федерация I-Country
, O
Новосибирская B-Oblast
область I-Oblast
, O
города B-City
Набережные I-City
Челны I-City
. O"
"Отправь письмо: Российская Федерация, Коми, Приморский район, селе Новое, улица Садовая, д 24.","Отправь O
письмо O
: O
Российская B-Country
Федерация I-Country
, O
Коми B-Republic
, O
Приморский B-District
район I-District
, O
селе B-Selo
Новое I-Selo
, O
улица B-Street
Садовая I-Street
, O
д B-House
24 I-House
. O"
